INDEX,FLIGHTDATE,FLIGHTNO,ORIGIN,ORIGIN_STATION,ORIGINOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,ORIGIN_UA_OBS,VIS_METERS
44,20180108,501,SFO,72494023234,2018-01-08 18:17:00+00:00,72494023234,2018-01-08 18:17:00+00:00,FM-16,MET12101/08/18 10:17:02 SPECI KSFO 081817Z 11003KT 1SM R28R/5000VP6000FT +RA BR OVC004 11/10 A2984 RMK AO2 P0003 T01110100 (SI),1609.0
39,20180108,675,DEN,72565003017,2018-01-08 18:53:00+00:00,72565003017,2018-01-08 18:53:00+00:00,FM-15,MET11401/08/18 11:53:02 METAR KDEN 081853Z 16003KT 10SM FEW120 BKN180 OVC220 06/M02 A2999 RMK AO2 SLP156 T00561017 (MAD),16093.0
43,20180108,1717,IAH,72243012960,2018-01-09 01:53:00+00:00,72243012960,2018-01-09 01:53:00+00:00,FM-15,MET09001/08/18 19:53:01 METAR KIAH 090153Z 33005KT 10SM CLR 13/06 A3011 RMK AO2 SLP196 T01330061,16093.0
40,20180108,255,DEN,72565003017,2018-01-09 02:53:00+00:00,72565003017,2018-01-09 02:53:00+00:00,FM-15,MET10701/08/18 19:53:02 METAR KDEN 090253Z 15003KT 10SM SCT150 BKN200 03/M03 A2993 RMK AO2 SLP139 T00331028 57001,16093.0
42,20180108,262,SEA,72793024233,2018-01-09 07:53:00+00:00,72793024233,2018-01-09 07:53:00+00:00,FM-15,MET11501/08/18 23:53:02 METAR KSEA 090753Z 00000KT 5SM -RA BR OVC012 07/07 A2961 RMK AO2 SLP033 P0006 T00720072 400940061,8047.0
47,20180109,2393,IAH,72243012960,2018-01-09 13:18:00+00:00,72243012960,2018-01-09 13:18:00+00:00,FM-16,MET09001/09/18 07:18:02 SPECI KIAH 091318Z 03005KT 7SM OVC009 08/07 A3014 RMK AO2 T00830072 (WS),11265.0
51,20180109,771,ORD,72530094846,2018-01-09 13:25:00+00:00,72530094846,2018-01-09 13:25:00+00:00,FM-16,MET11901/09/18 07:25:02 SPECI KORD 091325Z 21004KT 1 1/2SM R10L/4000V5500FT BR OVC003 M03/M04 A3024 RMK AO2 T10331044 $ (MJP),2414.0
46,20180109,1504,ORD,72530094846,2018-01-09 13:25:00+00:00,72530094846,2018-01-09 13:25:00+00:00,FM-16,MET11901/09/18 07:25:02 SPECI KORD 091325Z 21004KT 1 1/2SM R10L/4000V5500FT BR OVC003 M03/M04 A3024 RMK AO2 T10331044 $ (MJP),2414.0
50,20180109,217,ORD,72530094846,2018-01-09 14:51:00+00:00,72530094846,2018-01-09 14:51:00+00:00,FM-15,MET13401/09/18 08:51:02 METAR KORD 091451Z 22005KT 3/4SM R10L/3500V4000FT BR OVC003 M02/M03 A3026 RMK AO2 SLP256 I3000 T10221033 53016 (MJP),1207.0
49,20180109,52,IAD,72403093738,2018-01-09 23:52:00+00:00,72403093738,2018-01-09 23:52:00+00:00,FM-15,MET11701/09/18 18:52:02 METAR KIAD 092352Z 00000KT 10SM FEW180 02/M03 A3031 RMK AO2 SLP267 T00221028 10100 21006 53019 (JP),16093.0
53,20180109,134,EWR,72502014734,2018-01-10 00:51:00+00:00,72502014734,2018-01-10 00:51:00+00:00,FM-15,MET09401/09/18 19:51:01 METAR KEWR 100051Z 35011KT 10SM FEW250 03/M06 A3032 RMK AO2 SLP267 T00281056,16093.0
45,20180109,255,DEN,72565003017,2018-01-10 02:53:00+00:00,72565003017,2018-01-10 02:53:00+00:00,FM-15,MET09701/09/18 19:53:02 METAR KDEN 100253Z 15011KT 10SM CLR 06/M03 A2968 RMK AO2 SLP034 T00611033 58009,16093.0
48,20180109,2085,IAH,72243012960,2018-01-10 02:53:00+00:00,72243012960,2018-01-10 02:53:00+00:00,FM-15,MET09901/09/18 20:53:02 METAR KIAH 100253Z 12007KT 10SM OVC010 12/10 A3008 RMK AO2 SLP187 T01170100 53003,16093.0
52,20180109,252,HNL,91182022521,2018-01-10 06:53:00+00:00,91182022521,2018-01-10 06:53:00+00:00,FM-15,MET10701/09/18 20:53:02 METAR PHNL 100653Z 03005KT 10SM SCT029 BKN048 BKN070 24/18 A3007 RMK AO2 SLP181 T02390178,16093.0
55,20180110,1238,IAH,72243012960,2018-01-10 13:53:00+00:00,72243012960,2018-01-10 13:53:00+00:00,FM-15,MET13301/10/18 07:53:02 METAR KIAH 101353Z 08005KT 1/4SM -DZ BR BKN004 OVC012 12/11 A3002 RMK AO2 SFC VIS 1 1/2 SLP165 P0000 T01170111 (WS),402.0
73,20180111,438,IAH,72243012960,2018-01-11 15:53:00+00:00,72243012960,2018-01-11 15:53:00+00:00,FM-15,MET12001/11/18 09:53:02 METAR KIAH 111553Z 13007KT 7SM OVC060 17/17 A2982 RMK AO2 RAB01E22 SLP098 VCSH NW P0000 T01720167 (WS),11265.0
65,20180111,618,SFO,72494023234,2018-01-11 17:56:00+00:00,72494023234,2018-01-11 17:56:00+00:00,FM-15,MET12901/11/18 09:56:02 METAR KSFO 111756Z 00000KT 7SM FEW007 SCT170 BKN200 12/11 A3036 RMK AO2 SLP280 T01220111 10122 20111 52021 (AK),11265.0
66,20180111,675,DEN,72565003017,2018-01-11 18:53:00+00:00,72565003017,2018-01-11 18:53:00+00:00,FM-15,MET10001/11/18 11:53:02 METAR KDEN 111853Z 05006KT 10SM FEW080 02/M09 A3013 RMK AO2 SLP218 T00171094 (DKK),16093.0
63,20180111,575,SFO,72494023234,2018-01-11 18:56:00+00:00,72494023234,2018-01-11 18:56:00+00:00,FM-15,MET11101/11/18 10:56:02 METAR KSFO 111856Z 07004KT 7SM FEW008 BKN018 OVC200 13/11 A3035 RMK AO2 SLP277 T01280106 (AK),11265.0
74,20180111,209,SFO,72494023234,2018-01-11 18:56:00+00:00,72494023234,2018-01-11 18:56:00+00:00,FM-15,MET11101/11/18 10:56:02 METAR KSFO 111856Z 07004KT 7SM FEW008 BKN018 OVC200 13/11 A3035 RMK AO2 SLP277 T01280106 (AK),11265.0
72,20180111,449,ORD,72530094846,2018-01-11 19:23:00+00:00,72530094846,2018-01-11 19:23:00+00:00,FM-16,MET12901/11/18 13:23:02 SPECI KORD 111923Z 21014KT 2SM R10L/5000VP6000FT -RA BR BKN012 OVC024 13/12 A2963 RMK AO2 P0001 T01330122 (EPA),3219.0
64,20180111,1970,EWR,72502014734,2018-01-11 19:51:00+00:00,72502014734,2018-01-11 19:51:00+00:00,FM-15,MET10601/11/18 14:51:02 METAR KEWR 111951Z 00000KT 9SM SCT048 BKN250 11/05 A3033 RMK AO2 SLP268 T01060050 $ (DH),14484.0
68,20180111,1949,DEN,72565003017,2018-01-11 19:53:00+00:00,72565003017,2018-01-11 19:53:00+00:00,FM-15,MET10001/11/18 12:53:02 METAR KDEN 111953Z 04004KT 10SM FEW080 03/M10 A3009 RMK AO2 SLP201 T00331100 (DKK),16093.0
61,20180111,568,EWR,72502014734,2018-01-11 21:51:00+00:00,72502014734,2018-01-11 21:51:00+00:00,FM-15,MET10701/11/18 16:51:02 METAR KEWR 112151Z 11003KT 10SM SCT050 BKN250 09/04 A3031 RMK AO2 SLP264 T00940044 $ (DH),16093.0
56,20180111,1245,EWR,72502014734,2018-01-11 23:51:00+00:00,72502014734,2018-01-11 23:51:00+00:00,FM-15,MET12501/11/18 18:51:02 METAR KEWR 112351Z 00000KT 10SM SCT050 BKN250 07/05 A3029 RMK AO2 SLP255 T00720050 10106 20061 58014 $ (DH),16093.0
57,20180111,1887,DEN,72565003017,2018-01-12 00:53:00+00:00,72565003017,2018-01-12 00:53:00+00:00,FM-15,MET10101/11/18 17:53:01 METAR KDEN 120053Z 29009KT 10SM FEW080 FEW220 02/M13 A3009 RMK AO2 SLP205 T00221128,16093.0
60,20180111,64,EWR,72502014734,2018-01-12 01:51:00+00:00,72502014734,2018-01-12 01:51:00+00:00,FM-15,MET10801/11/18 20:51:01 METAR KEWR 120151Z 04003KT 7SM FEW005 FEW050 BKN250 04/03 A3024 RMK AO2 SLP238 T00440033 $,11265.0
71,20180111,1983,EWR,72502014734,2018-01-12 01:51:00+00:00,72502014734,2018-01-12 01:51:00+00:00,FM-15,MET10801/11/18 20:51:01 METAR KEWR 120151Z 04003KT 7SM FEW005 FEW050 BKN250 04/03 A3024 RMK AO2 SLP238 T00440033 $,11265.0
69,20180111,1001,IAH,72243012960,2018-01-12 01:53:00+00:00,72243012960,2018-01-12 01:53:00+00:00,FM-15,MET12101/11/18 19:53:01 METAR KIAH 120153Z 31022G31KT 10SM FEW032 FEW250 07/01 A2997 RMK AO2 PK WND 32031/0153 SLP149 T00720011,16093.0
75,20180111,754,DEN,72565003017,2018-01-12 01:53:00+00:00,72565003017,2018-01-12 01:53:00+00:00,FM-15,MET10101/11/18 18:53:01 METAR KDEN 120153Z 26005KT 10SM FEW080 FEW220 02/M13 A3007 RMK AO2 SLP202 T00171128,16093.0
59,20180111,1789,IAH,72243012960,2018-01-12 02:53:00+00:00,72243012960,2018-01-12 02:53:00+00:00,FM-15,MET12001/11/18 20:53:02 METAR KIAH 120253Z 32015G27KT 10SM BKN033 07/01 A2999 RMK AO2 PK WND 30031/0154 SLP156 T00720006 51038,16093.0
58,20180111,255,DEN,72565003017,2018-01-12 02:53:00+00:00,72565003017,2018-01-12 02:53:00+00:00,FM-15,MET10801/11/18 19:53:02 METAR KDEN 120253Z 15009KT 10SM FEW080 FEW220 M04/M11 A3006 RMK AO2 SLP208 T10391106 58007,16093.0
76,20180111,1044,IAD,72403093738,2018-01-12 03:52:00+00:00,72403093738,2018-01-12 03:52:00+00:00,FM-15,MET10301/11/18 22:52:02 METAR KIAD 120352Z 16008G17KT 10SM SCT007 OVC012 16/14 A3010 RMK AO2 SLP192 T01560139,16093.0
70,20180111,534,HNL,91182022521,2018-01-12 07:53:00+00:00,91182022521,2018-01-12 07:53:00+00:00,FM-15,MET10801/11/18 21:53:02 METAR PHNL 120753Z 00000KT 10SM FEW022 23/17 A3007 RMK AO2 SLP183 T02330172 VISNO RWY04R $,16093.0
62,20180111,1281,OGG,91190022516,2018-01-12 07:54:00+00:00,91190022516,2018-01-12 07:54:00+00:00,FM-15,MET09001/11/18 21:54:02 METAR PHOG 120754Z 18004KT 10SM CLR 21/19 A3007 RMK AO2 SLP189 T02110194,16093.0
67,20180111,1706,ITO,91285021504,2018-01-12 08:00:00+00:00,91285021504,2018-01-12 08:00:00+00:00,FM-15,MET070METAR PHTO 120800Z AUTO 00000KT 10SM SCT026 BKN032 OVC070 22/21 A3008=,16093.0
80,20180112,1187,ORD,72530094846,2018-01-12 12:51:00+00:00,72530094846,2018-01-12 12:51:00+00:00,FM-15,MET10401/12/18 06:51:02 METAR KORD 121251Z 36017G22KT 10SM OVC019 M06/M11 A3005 RMK AO2 SLP183 T10561106 (MJP),16093.0
79,20180112,1106,SFO,72494023234,2018-01-12 14:56:00+00:00,72494023234,2018-01-12 14:56:00+00:00,FM-15,MET11801/12/18 06:56:02 METAR KSFO 121456Z 00000KT 10SM FEW005 BKN008 OVC011 12/11 A3036 RMK AO2 SLP281 T01170106 52008 (AK),16093.0
77,20180112,265,DEN,72565003017,2018-01-12 15:53:00+00:00,72565003017,2018-01-12 15:53:00+00:00,FM-15,MET11401/12/18 08:53:02 METAR KDEN 121553Z 23006KT 10SM FEW080 SCT100 BKN150 04/M07 A2998 RMK AO2 SLP163 T00391067 (MAD),16093.0
89,20180112,303,DEN,72565003017,2018-01-12 17:53:00+00:00,72565003017,2018-01-12 17:53:00+00:00,FM-15,MET14001/12/18 10:53:02 METAR KDEN 121753Z 34006KT 10SM SCT080 BKN095 BKN150 08/M07 A3004 RMK AO2 SLP167 VIRGA N T00781067 10078 21011 52022 (MAD),16093.0
95,20180112,1254,IAH,72243012960,2018-01-12 18:53:00+00:00,72243012960,2018-01-12 18:53:00+00:00,FM-15,MET09901/12/18 12:53:02 METAR KIAH 121853Z 32014G20KT 10SM CLR 08/M06 A3021 RMK AO2 SLP229 T00781056 (WS),16093.0
83,20180112,556,DEN,72565003017,2018-01-12 18:53:00+00:00,72565003017,2018-01-12 18:53:00+00:00,FM-15,MET12301/12/18 11:53:02 METAR KDEN 121853Z 04018G23KT 10SM FEW030 SCT055 BKN070 06/M05 A3006 RMK AO2 SLP176 VIRGA T00561050 (MAD),16093.0
86,20180112,675,DEN,72565003017,2018-01-12 18:53:00+00:00,72565003017,2018-01-12 18:53:00+00:00,FM-15,MET12301/12/18 11:53:02 METAR KDEN 121853Z 04018G23KT 10SM FEW030 SCT055 BKN070 06/M05 A3006 RMK AO2 SLP176 VIRGA T00561050 (MAD),16093.0
91,20180112,1741,ORD,72530094846,2018-01-12 19:51:00+00:00,72530094846,2018-01-12 19:51:00+00:00,FM-15,MET13101/12/18 13:51:02 METAR KORD 121951Z 36022G32KT 6SM -SN OVC024 M07/M12 A3015 RMK AO2 PK WND 01032/1945 SLP222 P0000 T10671122 (MJP),9656.0
92,20180112,596,DEN,72565003017,2018-01-12 19:53:00+00:00,72565003017,2018-01-12 19:53:00+00:00,FM-15,MET13201/12/18 12:53:02 METAR KDEN 121953Z 04009KT 10SM FEW035 BKN045 BKN070 04/M02 A3010 RMK AO2 PK WND 01029/1917 SLP195 T00391022 (MAD),16093.0
85,20180112,1850,ORD,72530094846,2018-01-12 20:20:00+00:00,72530094846,2018-01-12 20:20:00+00:00,FM-16,MET12401/12/18 14:20:02 SPECI KORD 122020Z 35017G25KT 9SM -SN OVC026 M07/M13 A3017 RMK AO2 PK WND 01029/1952 P0000 T10671128 (KLC),14484.0
93,20180112,509,ORD,72530094846,2018-01-12 20:20:00+00:00,72530094846,2018-01-12 20:20:00+00:00,FM-16,MET12401/12/18 14:20:02 SPECI KORD 122020Z 35017G25KT 9SM -SN OVC026 M07/M13 A3017 RMK AO2 PK WND 01029/1952 P0000 T10671128 (KLC),14484.0
88,20180112,1410,IAH,72243012960,2018-01-12 20:53:00+00:00,72243012960,2018-01-12 20:53:00+00:00,FM-15,MET10801/12/18 14:53:02 METAR KIAH 122053Z 35018G23KT 10SM FEW250 09/M05 A3018 RMK AO2 SLP221 T00891050 56020 (WS),16093.0
84,20180112,999,EWR,72502014734,2018-01-12 23:51:00+00:00,72502014734,2018-01-12 23:51:00+00:00,FM-15,MET18301/12/18 18:51:02 METAR KEWR 122351Z 16007KT 1/2SM R04R/P6000FT -RA BR OVC003 16/16 A2971 RMK AO2 SFC VIS 2 DZE51RAB51 SLP058 CIG 002V004 P0001 60024 T01610156 10178 20161 58009 (DHA),805.0
81,20180112,950,IAD,72403093738,2018-01-12 23:52:00+00:00,72403093738,2018-01-12 23:52:00+00:00,FM-15,MET12901/12/18 18:52:02 METAR KIAD 122352Z 15009KT 10SM BKN012 OVC026 18/18 A2959 RMK AO2 SLP018 60000 T01830178 10211 20183 56024 (JH),16093.0
82,20180112,677,EWR,72502014734,2018-01-13 00:02:00+00:00,72502014734,2018-01-13 00:02:00+00:00,FM-16,MET13001/12/18 19:02:01 SPECI KEWR 130002Z 16006KT 1/2SM R04R/P6000FT -RA BR BKN005 OVC008 16/16 A2970 RMK AO2 SFC VIS 2 P0002 T01610156,805.0
87,20180112,909,ORD,72530094846,2018-01-13 00:51:00+00:00,72530094846,2018-01-13 00:51:00+00:00,FM-15,MET12501/12/18 18:51:01 METAR KORD 130051Z 36016G26KT 9SM -SN OVC028 M07/M16 A3030 RMK AO2 PK WND 35027/0023 SLP273 P0000 T10721156,14484.0
94,20180112,972,ORD,72530094846,2018-01-13 00:51:00+00:00,72530094846,2018-01-13 00:51:00+00:00,FM-15,MET12501/12/18 18:51:01 METAR KORD 130051Z 36016G26KT 9SM -SN OVC028 M07/M16 A3030 RMK AO2 PK WND 35027/0023 SLP273 P0000 T10721156,14484.0
78,20180112,2162,SFO,72494023234,2018-01-13 06:56:00+00:00,72494023234,2018-01-13 06:56:00+00:00,FM-15,MET09001/12/18 22:56:02 METAR KSFO 130656Z 14005KT 10SM CLR 11/08 A3029 RMK AO2 SLP257 T01060083,16093.0
90,20180112,2081,SFO,72494023234,2018-01-13 07:56:00+00:00,72494023234,2018-01-13 07:56:00+00:00,FM-15,MET09901/12/18 23:56:02 METAR KSFO 130756Z 00000KT 9SM CLR 12/09 A3028 RMK AO2 SLP252 T01170094 401280100,14484.0
96,20180113,255,DEN,72565003017,2018-01-14 02:53:00+00:00,72565003017,2018-01-14 02:53:00+00:00,FM-15,MET10001/13/18 19:53:01 METAR KDEN 140253Z 17006KT 10SM FEW160 01/M07 A3024 RMK AO2 SLP259 T00111067 51012,16093.0
